Name,☑️ Featured,🌐 Issuing Organization,📅 Date,🔎 Credential ID,🔗 Credential URL
Claude with Google Cloud's Vertex AI,Yes,Anthropic,"June, 2026",mes88hq8bcun,https://verify.skilljar.com/c/mes88hq8bcun
AI Capabilities and Limitations,Yes,Anthropic,"June, 2026",nvxqnhovxt9s,https://verify.skilljar.com/c/nvxqnhovxt9s
AI Fluency for Small Businesses,No,Anthropic,"June, 2026",rdzuxd29tira,https://verify.skilljar.com/c/rdzuxd29tira
Model Context Protocol: Advanced Topics,Yes,Anthropic,"June, 2026",efefrgy22oen,https://verify.skilljar.com/c/efefrgy22oen
Building with the Claude API,Yes,Anthropic,"June, 2026",dws3gyptg2tf,https://verify.skilljar.com/c/dws3gyptg2tf
Claude in Amazon Bedrock,Yes,Anthropic,"June, 2026",s926duyswbde,https://verify.skilljar.com/c/s926duyswbde
Introduction to subagents,No,Anthropic,"June, 2026",gxwmn3uvs4i7,https://verify.skilljar.com/c/gxwmn3uvs4i7
Introduction to Agent Skills,No,Anthropic,"June, 2026",cxckmsjus3sc,https://verify.skilljar.com/c/cxckmsjus3sc
AI Fluency for nonprofits,No,Anthropic,"June, 2026",7hxevqt8fj39,https://verify.skilljar.com/c/7hxevqt8fj39
AI Fluency for students,No,Anthropic,"June, 2026",ssgznhmc95ji,https://verify.skilljar.com/c/ssgznhmc95ji
Introduction to Model Context Protocol,No,Anthropic,"June, 2026",wccuqz8rzyvi,https://verify.skilljar.com/c/wccuqz8rzyvi
Al Fluency Framework & Foundations,No,Anthropic,"June, 2026",8777tuwbdbnb,https://verify.skilljar.com/c/8777tuwbdbnb
Claude Code in Action,No,Anthropic,"June, 2026",vw6qckrwq8r9,https://verify.skilljar.com/c/vw6qckrwq8r9
Introduction to Claude Cowork,No,Anthropic,"June, 2026",jdt3n5pvnrv3,https://verify.skilljar.com/c/jdt3n5pvnrv3
Claude code 101,No,Anthropic,"June, 2026",5hvqfjzx4mn5,https://verify.skilljar.com/c/5hvqfjzx4mn5
Claude 101,No,Anthropic,"June, 2026",myprw9naykip,https://verify.skilljar.com/c/myprw9naykip
SQL (Basic) Certificate,Yes,HackerRank,"January, 2026",0E91C8E42846,https://www.hackerrank.com/certificates/0e91c8e42846